Date,Close
12/8/2022 16:00:00,7.59
12/9/2022 16:00:00,7.51
12/12/2022 16:00:00,7.43
12/13/2022 16:00:00,7.49
12/14/2022 16:00:00,7.44
12/15/2022 16:00:00,7.5
12/16/2022 16:00:00,7.41
12/19/2022 16:00:00,7.46
12/20/2022 16:00:00,7.32
12/21/2022 16:00:00,7.35
12/22/2022 16:00:00,7.39
12/23/2022 16:00:00,7.74
12/27/2022 16:00:00,7.32
12/28/2022 16:00:00,7.42
12/29/2022 16:00:00,7.42
12/30/2022 16:00:00,7.5
1/3/2023 16:00:00,7.5
1/4/2023 16:00:00,7.49
1/5/2023 16:00:00,7.5
1/6/2023 16:00:00,7.6
1/9/2023 16:00:00,7.46
1/10/2023 16:00:00,7.5
1/11/2023 16:00:00,7.5
1/12/2023 16:00:00,7.46
1/13/2023 16:00:00,7.41
1/17/2023 16:00:00,7.5
1/18/2023 16:00:00,7.6
1/19/2023 16:00:00,7.51
1/20/2023 16:00:00,7.5
1/23/2023 16:00:00,7.55
1/24/2023 16:00:00,7.6
1/25/2023 16:00:00,7.8
1/26/2023 16:00:00,7.32
1/27/2023 16:00:00,7.98
1/30/2023 16:00:00,9.41
1/31/2023 16:00:00,9.92
2/1/2023 16:00:00,10.69
2/2/2023 16:00:00,9.92
2/3/2023 16:00:00,10.38
2/6/2023 16:00:00,10.89
2/7/2023 16:00:00,10.89
2/8/2023 16:00:00,11.02
2/9/2023 16:00:00,11.82
2/10/2023 16:00:00,14.37
2/13/2023 16:00:00,11.85
2/14/2023 16:00:00,10.7
2/15/2023 16:00:00,10.35
2/16/2023 16:00:00,9.99
2/17/2023 16:00:00,9.97
2/21/2023 16:00:00,10.1
2/22/2023 16:00:00,10.24
2/23/2023 16:00:00,10.37
2/24/2023 16:00:00,10.44
2/27/2023 16:00:00,11
2/28/2023 16:00:00,11.43
3/1/2023 16:00:00,11.52
3/2/2023 16:00:00,11.7
3/3/2023 16:00:00,11.98
3/6/2023 16:00:00,11.9
3/7/2023 16:00:00,11.34
3/8/2023 16:00:00,11.06
3/9/2023 16:00:00,10
3/10/2023 16:00:00,10.77
3/13/2023 16:00:00,9.94
3/14/2023 16:00:00,10.34
3/15/2023 16:00:00,10.96
3/16/2023 16:00:00,11.31
3/17/2023 16:00:00,11.95
3/20/2023 16:00:00,12.45
3/21/2023 16:00:00,12.36
3/22/2023 16:00:00,12.27
3/23/2023 16:00:00,12.14
3/24/2023 16:00:00,11.76
3/27/2023 16:00:00,11.98
3/28/2023 16:00:00,12
3/29/2023 16:00:00,11.75
3/30/2023 16:00:00,12.43
3/31/2023 16:00:00,13.11
4/3/2023 16:00:00,13.18
4/4/2023 16:00:00,13.39
4/5/2023 16:00:00,12.62
4/6/2023 16:00:00,13
4/10/2023 16:00:00,12.85
4/11/2023 16:00:00,14.08
4/12/2023 16:00:00,14.5
4/13/2023 16:00:00,14.85
4/14/2023 16:00:00,14.74
4/17/2023 16:00:00,14.55
4/18/2023 16:00:00,14.66
4/19/2023 16:00:00,14.63
4/20/2023 16:00:00,13.85
4/21/2023 16:00:00,13.88
4/24/2023 16:00:00,14.34
4/25/2023 16:00:00,14.6
4/26/2023 16:00:00,14.84
4/27/2023 16:00:00,14.83
4/28/2023 16:00:00,14.8
5/1/2023 16:00:00,15.18
5/2/2023 16:00:00,14.41
5/3/2023 16:00:00,14.33
5/4/2023 16:00:00,14.89
5/5/2023 16:00:00,15.05
5/8/2023 16:00:00,15.1
5/9/2023 16:00:00,15.08
