Date,Close
12/8/2022 16:00:00,62.28
12/9/2022 16:00:00,61.88
12/12/2022 16:00:00,65.67
12/13/2022 16:00:00,65.75
12/14/2022 16:00:00,65.97
12/15/2022 16:00:00,63.74
12/16/2022 16:00:00,66.4
12/19/2022 16:00:00,65.23
12/20/2022 16:00:00,65.86
12/21/2022 16:00:00,67.87
12/22/2022 16:00:00,66.05
12/23/2022 16:00:00,65.6
12/27/2022 16:00:00,65.6
12/28/2022 16:00:00,63.36
12/29/2022 16:00:00,64.81
12/30/2022 16:00:00,64.75
1/3/2023 16:00:00,65.57
1/4/2023 16:00:00,67.07
1/5/2023 16:00:00,68
1/6/2023 16:00:00,69.47
1/9/2023 16:00:00,70.68
1/10/2023 16:00:00,71.99
1/11/2023 16:00:00,72.56
1/12/2023 16:00:00,74.23
1/13/2023 16:00:00,75
1/17/2023 16:00:00,73.77
1/18/2023 16:00:00,74.4
1/19/2023 16:00:00,73.64
1/20/2023 16:00:00,74.52
1/23/2023 16:00:00,76.99
1/24/2023 16:00:00,75.82
1/25/2023 16:00:00,74.95
1/26/2023 16:00:00,71.5
1/27/2023 16:00:00,70.71
1/30/2023 16:00:00,72.22
1/31/2023 16:00:00,72.87
2/1/2023 16:00:00,72.74
2/2/2023 16:00:00,72.24
2/3/2023 16:00:00,71.91
2/6/2023 16:00:00,72.24
2/7/2023 16:00:00,74.09
2/8/2023 16:00:00,73.74
2/9/2023 16:00:00,74.07
2/10/2023 16:00:00,75.94
2/13/2023 16:00:00,75.57
2/14/2023 16:00:00,75.62
2/15/2023 16:00:00,76.33
2/16/2023 16:00:00,76.07
2/17/2023 16:00:00,75.54
2/21/2023 16:00:00,74.51
2/22/2023 16:00:00,74.75
2/23/2023 16:00:00,75.32
2/24/2023 16:00:00,75.11
2/27/2023 16:00:00,75.73
2/28/2023 16:00:00,75.98
3/1/2023 16:00:00,77.85
3/2/2023 16:00:00,77.5
3/3/2023 16:00:00,78.16
3/6/2023 16:00:00,76.25
3/7/2023 16:00:00,73.88
3/8/2023 16:00:00,76.93
3/9/2023 16:00:00,76.46
3/10/2023 16:00:00,74.93
3/13/2023 16:00:00,74.01
3/14/2023 16:00:00,75.71
3/15/2023 16:00:00,74.3
3/16/2023 16:00:00,76.13
3/17/2023 16:00:00,74.73
3/20/2023 16:00:00,75.86
3/21/2023 16:00:00,75.93
3/22/2023 16:00:00,75.95
3/23/2023 16:00:00,77.31
3/24/2023 16:00:00,77.22
3/27/2023 16:00:00,77.31
3/28/2023 16:00:00,77.2
3/29/2023 16:00:00,78.95
3/30/2023 16:00:00,80.66
3/31/2023 16:00:00,82.99
4/3/2023 16:00:00,82.79
4/4/2023 16:00:00,79.08
4/5/2023 16:00:00,79.58
4/6/2023 16:00:00,80.45
4/10/2023 16:00:00,82.26
4/11/2023 16:00:00,81.99
4/12/2023 16:00:00,82.14
4/13/2023 16:00:00,82.37
4/14/2023 16:00:00,83.66
4/17/2023 16:00:00,82.98
4/18/2023 16:00:00,80.83
4/19/2023 16:00:00,80.34
4/20/2023 16:00:00,80.47
4/21/2023 16:00:00,80.15
4/24/2023 16:00:00,76.9
4/25/2023 16:00:00,72.27
4/26/2023 16:00:00,73.55
4/27/2023 16:00:00,75.63
4/28/2023 16:00:00,75.41
5/1/2023 16:00:00,76.93
5/2/2023 16:00:00,77.13
5/3/2023 16:00:00,76.63
5/4/2023 16:00:00,90.3
5/5/2023 16:00:00,87.49
5/8/2023 16:00:00,89.02
5/9/2023 16:00:00,87.35
5/10/2023 16:00:00,87.58
5/11/2023 16:00:00,88.49
5/12/2023 16:00:00,88.12
5/15/2023 16:00:00,87.42
5/16/2023 16:00:00,87.94
5/17/2023 16:00:00,88.66
5/18/2023 16:00:00,88.64
5/19/2023 16:00:00,88.68
5/22/2023 16:00:00,87.82
5/23/2023 16:00:00,86.66
5/24/2023 16:00:00,85.77
5/25/2023 16:00:00,87.85
5/26/2023 16:00:00,90.19
5/30/2023 16:00:00,87.55
5/31/2023 16:00:00,89.37
6/1/2023 16:00:00,90.32
6/2/2023 16:00:00,90.22
6/5/2023 16:00:00,91.93
6/6/2023 16:00:00,95.2
6/7/2023 16:00:00,95.02
6/8/2023 16:00:00,95.84
6/9/2023 16:00:00,96.12
6/12/2023 16:00:00,95.52
6/13/2023 16:00:00,87.82
6/14/2023 16:00:00,88.96
6/15/2023 16:00:00,90.65
6/16/2023 16:00:00,88.01
6/20/2023 16:00:00,93.23
6/21/2023 16:00:00,94.59
6/22/2023 16:00:00,95.12
6/23/2023 16:00:00,92.81
6/26/2023 16:00:00,93.59
6/27/2023 16:00:00,94.05
6/28/2023 16:00:00,94.37
6/29/2023 16:00:00,96.2
6/30/2023 16:00:00,97.44
7/3/2023 13:05:00,92.98
7/5/2023 16:00:00,93.25
7/6/2023 16:00:00,91.39
7/7/2023 16:00:00,89.55
7/10/2023 16:00:00,93.81
7/11/2023 16:00:00,94.37
7/12/2023 16:00:00,93.51
7/13/2023 16:00:00,93.07
7/14/2023 16:00:00,92.09
7/17/2023 16:00:00,95.49
7/18/2023 16:00:00,96.8
7/19/2023 16:00:00,96.48
7/20/2023 16:00:00,79.06
7/21/2023 16:00:00,81.19
7/24/2023 16:00:00,80.65
7/25/2023 16:00:00,82.91
7/26/2023 16:00:00,82.11
7/27/2023 16:00:00,81.42
7/28/2023 16:00:00,78.83
7/31/2023 16:00:00,79.21
8/1/2023 16:00:00,82.25
8/2/2023 16:00:00,80.68
8/3/2023 16:00:00,80.77
8/4/2023 16:00:00,80.27
8/7/2023 16:00:00,81.4
8/8/2023 16:00:00,81.09
8/9/2023 16:00:00,81.44
8/10/2023 16:00:00,80.33
8/11/2023 16:00:00,78.71
8/14/2023 16:00:00,78.28
8/15/2023 16:00:00,77.6
8/16/2023 16:00:00,77.11
8/17/2023 16:00:00,76.13
8/18/2023 16:00:00,76.71
8/21/2023 16:00:00,79.25
8/22/2023 16:00:00,79.61
8/23/2023 16:00:00,82.26
8/24/2023 16:00:00,80.73
8/25/2023 16:00:00,80.9
8/28/2023 16:00:00,82.23
8/29/2023 16:00:00,83.05
8/30/2023 16:00:00,84.52
8/31/2023 16:00:00,88.45
9/1/2023 16:00:00,88.55
9/5/2023 16:00:00,88.69
9/6/2023 16:00:00,88.47
9/7/2023 16:00:00,86.83
9/8/2023 16:00:00,83.46
9/11/2023 16:00:00,86.24
9/12/2023 16:00:00,85.79
9/13/2023 16:00:00,85.37
9/14/2023 16:00:00,83.9
