Date,Close
12/8/2022 16:00:00,10.76
12/9/2022 16:00:00,11.09
12/12/2022 16:00:00,11.27
12/13/2022 16:00:00,10.89
12/14/2022 16:00:00,10.98
12/15/2022 16:00:00,10
12/16/2022 16:00:00,9.91
12/19/2022 16:00:00,9.25
12/20/2022 16:00:00,9.03
12/21/2022 16:00:00,9.04
12/22/2022 16:00:00,9.23
12/23/2022 16:00:00,9.17
12/27/2022 16:00:00,9.23
12/28/2022 16:00:00,8.87
12/29/2022 16:00:00,9.43
12/30/2022 16:00:00,9.48
1/3/2023 16:00:00,9.54
1/4/2023 16:00:00,10.38
1/5/2023 16:00:00,10.86
1/6/2023 16:00:00,11.32
1/9/2023 16:00:00,11.61
1/10/2023 16:00:00,12.56
1/11/2023 16:00:00,12.6
1/12/2023 16:00:00,13.15
1/13/2023 16:00:00,13.14
1/17/2023 16:00:00,13.23
1/18/2023 16:00:00,12.59
1/19/2023 16:00:00,12.47
1/20/2023 16:00:00,13.02
1/23/2023 16:00:00,13.51
1/24/2023 16:00:00,13.38
1/25/2023 16:00:00,14.53
1/26/2023 16:00:00,15
1/27/2023 16:00:00,14.91
1/30/2023 16:00:00,14.38
1/31/2023 16:00:00,14.82
2/1/2023 16:00:00,15.36
2/2/2023 16:00:00,15.92
2/3/2023 16:00:00,15.42
2/6/2023 16:00:00,15.4
2/7/2023 16:00:00,15.33
2/8/2023 16:00:00,14.56
2/9/2023 16:00:00,14.37
2/10/2023 16:00:00,14.22
2/13/2023 16:00:00,14.92
2/14/2023 16:00:00,14.73
2/15/2023 16:00:00,15.35
2/16/2023 16:00:00,15.31
2/17/2023 16:00:00,15.43
2/21/2023 16:00:00,14.75
2/22/2023 16:00:00,15.42
2/23/2023 16:00:00,15.73
2/24/2023 16:00:00,15.55
2/27/2023 16:00:00,15.94
2/28/2023 16:00:00,15.62
3/1/2023 16:00:00,15.02
3/2/2023 16:00:00,15.24
3/3/2023 16:00:00,15.47
3/6/2023 16:00:00,15.13
3/7/2023 16:00:00,14.82
3/8/2023 16:00:00,15.34
3/9/2023 16:00:00,14.77
3/10/2023 16:00:00,14.35
3/13/2023 16:00:00,14.02
3/14/2023 16:00:00,14.05
3/15/2023 16:00:00,13.57
3/16/2023 16:00:00,14.16
3/17/2023 16:00:00,14.34
3/20/2023 16:00:00,14.24
3/21/2023 16:00:00,15.09
3/22/2023 16:00:00,14.51
3/23/2023 16:00:00,14.53
3/24/2023 16:00:00,14
3/27/2023 16:00:00,14.34
3/28/2023 16:00:00,14.48
3/29/2023 16:00:00,14.66
3/30/2023 16:00:00,14.85
3/31/2023 16:00:00,15.1
4/3/2023 16:00:00,14.81
4/4/2023 16:00:00,15.15
4/5/2023 16:00:00,14.79
4/6/2023 16:00:00,15.11
4/10/2023 16:00:00,15.4
4/11/2023 16:00:00,14.93
4/12/2023 16:00:00,14.06
4/13/2023 16:00:00,14.04
4/14/2023 16:00:00,13.78
4/17/2023 16:00:00,14.53
