Date,Close
5/11/2018 16:00:00,57.26
5/14/2018 16:00:00,56.99
5/15/2018 16:00:00,54.54
5/16/2018 16:00:00,54.33
5/17/2018 16:00:00,57.12
5/18/2018 16:00:00,57.95
5/21/2018 16:00:00,59.65
5/22/2018 16:00:00,61.72
5/23/2018 16:00:00,59.8
5/24/2018 16:00:00,62.08
5/25/2018 16:00:00,63.01
5/29/2018 16:00:00,63.97
5/30/2018 16:00:00,63.74
5/31/2018 16:00:00,63.74
6/1/2018 16:00:00,65.3
6/4/2018 16:00:00,66.07
6/5/2018 16:00:00,67.06
6/6/2018 16:00:00,67.9
6/7/2018 16:00:00,63.53
6/8/2018 16:00:00,65.28
6/11/2018 16:00:00,65.2
6/12/2018 16:00:00,65.28
6/13/2018 16:00:00,64.88
6/14/2018 16:00:00,63.67
6/15/2018 16:00:00,64.4
6/18/2018 16:00:00,66.13
6/19/2018 16:00:00,65.54
6/20/2018 16:00:00,68.45
6/21/2018 16:00:00,67.05
6/22/2018 16:00:00,67.65
6/25/2018 16:00:00,61.97
6/26/2018 16:00:00,63.17
6/27/2018 16:00:00,62.01
6/28/2018 16:00:00,64.04
6/29/2018 16:00:00,63.18
7/2/2018 16:00:00,64.43
7/3/2018 13:00:00,64.09
7/5/2018 16:00:00,64.98
7/6/2018 16:00:00,65.96
7/9/2018 16:00:00,66.95
7/10/2018 16:00:00,67.35
7/11/2018 16:00:00,66.96
7/12/2018 16:00:00,68.94
7/13/2018 16:00:00,67.79
7/16/2018 16:00:00,69.02
7/17/2018 16:00:00,70.64
7/18/2018 16:00:00,71.55
7/19/2018 16:00:00,73.07
7/20/2018 16:00:00,73.83
7/23/2018 16:00:00,74.89
7/24/2018 16:00:00,72.24
7/25/2018 16:00:00,72.89
7/26/2018 16:00:00,72.5
7/27/2018 16:00:00,68.76
7/30/2018 16:00:00,66.42
7/31/2018 16:00:00,67.93
8/1/2018 16:00:00,68.42
8/2/2018 16:00:00,69.78
8/3/2018 16:00:00,69.09
8/6/2018 16:00:00,66.86
8/7/2018 16:00:00,67.62
8/8/2018 16:00:00,59.78
8/9/2018 16:00:00,59.33
8/10/2018 16:00:00,61.47
8/13/2018 16:00:00,60.98
8/14/2018 16:00:00,62.31
8/15/2018 16:00:00,61.02
8/16/2018 16:00:00,62.66
8/17/2018 16:00:00,64.15
8/20/2018 16:00:00,64.16
8/21/2018 16:00:00,63.81
8/22/2018 16:00:00,64.35
8/23/2018 16:00:00,64.01
8/24/2018 16:00:00,65.55
8/27/2018 16:00:00,66.66
8/28/2018 16:00:00,67.3
8/29/2018 16:00:00,67.08
8/30/2018 16:00:00,66.46
8/31/2018 16:00:00,68.26
9/4/2018 16:00:00,69.88
9/5/2018 16:00:00,68.77
9/6/2018 16:00:00,70.29
9/7/2018 16:00:00,70.46
9/10/2018 16:00:00,71.88
9/11/2018 16:00:00,72.94
9/12/2018 16:00:00,70.36
9/13/2018 16:00:00,71.43
9/14/2018 16:00:00,73.41
9/17/2018 16:00:00,68.67
9/18/2018 16:00:00,69.08
9/19/2018 16:00:00,67.37
9/20/2018 16:00:00,65.46
9/21/2018 16:00:00,64.79
9/24/2018 16:00:00,63.62
9/25/2018 16:00:00,66.97
9/26/2018 16:00:00,66.39
9/27/2018 16:00:00,67.61
9/28/2018 16:00:00,68.43
10/1/2018 16:00:00,66.84
10/2/2018 16:00:00,64.23
10/3/2018 16:00:00,64.76
10/4/2018 16:00:00,62.81
10/5/2018 16:00:00,62.67
10/8/2018 16:00:00,63.41
10/9/2018 16:00:00,62.84
10/10/2018 16:00:00,57.66
10/11/2018 16:00:00,56.19
10/12/2018 16:00:00,58.86
10/15/2018 16:00:00,57.06
10/16/2018 16:00:00,61.24
10/17/2018 16:00:00,61.65
10/18/2018 16:00:00,58.26
10/19/2018 16:00:00,58.52
10/22/2018 16:00:00,57.98
10/23/2018 16:00:00,58.04
10/24/2018 16:00:00,57.65
10/25/2018 16:00:00,58.95
10/26/2018 16:00:00,56.95
10/29/2018 16:00:00,55.9
10/30/2018 16:00:00,57.95
10/31/2018 16:00:00,61.72
11/1/2018 16:00:00,61.4
11/2/2018 16:00:00,61.2
11/5/2018 16:00:00,60.44
11/6/2018 16:00:00,60.08
11/7/2018 16:00:00,50.7
11/8/2018 16:00:00,50.66
11/9/2018 16:00:00,52.25
11/12/2018 16:00:00,50
11/13/2018 16:00:00,50.29
11/14/2018 16:00:00,49.57
11/15/2018 16:00:00,49.58
11/16/2018 16:00:00,49.95
11/19/2018 16:00:00,46.99
11/20/2018 16:00:00,45.22
11/21/2018 16:00:00,46.66
11/23/2018 13:00:00,46.68
11/26/2018 16:00:00,46.86
11/27/2018 16:00:00,46.52
11/28/2018 16:00:00,45.38
11/29/2018 16:00:00,44.07
11/30/2018 16:00:00,43.47
12/3/2018 16:00:00,45.18
12/4/2018 16:00:00,43.64
12/6/2018 16:00:00,44.51
12/7/2018 16:00:00,43.52
12/10/2018 16:00:00,44.3
12/11/2018 16:00:00,44.21
12/12/2018 16:00:00,45.59
12/13/2018 16:00:00,45.12
12/14/2018 16:00:00,44.65
12/17/2018 16:00:00,43.8
12/18/2018 16:00:00,44.46
12/19/2018 16:00:00,44.82
12/20/2018 16:00:00,41.37
12/21/2018 16:00:00,41.79
12/24/2018 13:00:00,39.74
12/26/2018 16:00:00,41.76
12/27/2018 16:00:00,43
12/28/2018 16:00:00,43.03
12/31/2018 16:00:00,43.75
1/2/2019 16:00:00,45.11
1/3/2019 16:00:00,43.29
1/4/2019 16:00:00,46.01
1/7/2019 16:00:00,48.15
1/8/2019 16:00:00,49.41
1/9/2019 16:00:00,50.26
1/10/2019 16:00:00,49.69
1/11/2019 16:00:00,49.45
1/14/2019 16:00:00,49.78
1/15/2019 16:00:00,49.35
1/16/2019 16:00:00,49.63
1/17/2019 16:00:00,50.22
1/18/2019 16:00:00,50.19
1/22/2019 16:00:00,48.7
1/23/2019 16:00:00,48.06
1/24/2019 16:00:00,48.43
1/25/2019 16:00:00,49.1
1/28/2019 16:00:00,49.1
1/29/2019 16:00:00,49.04
1/30/2019 16:00:00,49.74
1/31/2019 16:00:00,51.01
2/1/2019 16:00:00,50.65
2/4/2019 16:00:00,52.91
2/5/2019 16:00:00,52.5
2/6/2019 16:00:00,52.12
2/7/2019 16:00:00,51.98
2/8/2019 16:00:00,51.43
2/11/2019 16:00:00,53.13
2/12/2019 16:00:00,53.3
2/13/2019 16:00:00,53.7
2/14/2019 16:00:00,54.59
2/15/2019 16:00:00,55.43
2/19/2019 16:00:00,55.81
2/20/2019 16:00:00,56
2/21/2019 16:00:00,55.49
2/22/2019 16:00:00,55.74
2/25/2019 16:00:00,58.05
2/26/2019 16:00:00,60.22
2/27/2019 16:00:00,55.49
2/28/2019 16:00:00,53.83
3/1/2019 16:00:00,54.45
3/4/2019 16:00:00,51.2
3/5/2019 16:00:00,51.4
3/6/2019 16:00:00,49.98
3/7/2019 16:00:00,48.47
3/8/2019 16:00:00,46.86
3/11/2019 16:00:00,47.97
3/12/2019 16:00:00,48.33
3/13/2019 16:00:00,47.63
3/14/2019 16:00:00,47.05
3/15/2019 16:00:00,47.96
3/18/2019 16:00:00,50.02
3/19/2019 16:00:00,52.04
3/20/2019 16:00:00,52.65
3/21/2019 16:00:00,54.54
3/22/2019 16:00:00,52.05
3/25/2019 16:00:00,52.89
3/26/2019 16:00:00,53.36
3/27/2019 16:00:00,52.52
3/28/2019 16:00:00,53.85
3/29/2019 16:00:00,54.41
4/1/2019 16:00:00,55.26
4/2/2019 16:00:00,54.38
4/3/2019 16:00:00,55.38
4/4/2019 16:00:00,55.12
4/5/2019 16:00:00,57.73
4/8/2019 16:00:00,60.32
4/9/2019 16:00:00,58.66
4/10/2019 16:00:00,60.12
4/11/2019 16:00:00,60.92
4/12/2019 16:00:00,61.87
4/15/2019 16:00:00,60.75
4/16/2019 16:00:00,61.55
4/17/2019 16:00:00,61.5
4/18/2019 16:00:00,59.82
4/22/2019 16:00:00,60.74
4/23/2019 16:00:00,62.87
4/24/2019 16:00:00,62.58
4/25/2019 16:00:00,62.94
4/26/2019 16:00:00,62.86
4/29/2019 16:00:00,63.37
4/30/2019 16:00:00,63.5
5/1/2019 16:00:00,63.79
5/2/2019 16:00:00,64.26
5/3/2019 16:00:00,65.3
5/6/2019 16:00:00,65.84
5/7/2019 16:00:00,64.64
5/8/2019 16:00:00,67
